Date,Tooth
2017-06-10,incisor
2017-06-10,molar
2017-06-10,canine
2017-06-11,bicuspid
2017-06-15,molar
2017-06-16,wisdom
2017-06-21,canine
2017-06-21,molar
2017-06-21,bicuspid
2017-06-23,molar
2017-06-23,wisdom
2017-06-23,incisor
2017-06-24,canine
2017-06-25,wisdom
2017-06-25,molar
2017-06-27,incisor
2017-06-28,canine
2017-06-28,bicuspid
2017-06-29,molar
2017-06-29,wisdom

Date,Tooth
2017-09-10,incisor
2017-09-10,molar
2017-09-10,canine
2017-09-11,bicuspid
2017-09-15,molar
2017-09-16,wisdom
2017-09-21,canine
2017-09-21,molar
2017-09-21,bicuspid
2017-09-23,molar
2017-09-23,wisdom
2017-09-23,incisor
2017-09-24,canine
2017-09-25,wisdom
2017-09-25,molar
2017-09-27,incisor
2017-09-28,canine
2017-09-28,bicuspid
2017-09-29,molar
2017-09-29,wisdom








































